filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
06  Grieg - Piano Concerto in A Minor Op. 16 - Adagio.flac,0.2253808,0.08452055,0.03132746,0.0006563222,864.0866278777569,87551.10279517176,1038.0055574880018,118322.54570009654,1405.7748328052437,423984.86048316106,0.05578953415247678,0.0006330844948731895,-4.480577e-06,0.0014209955,-5.4177726e-05,3.929742e-05,143.5546875,-397.6993,9002.848,173.62395,1520.9631,1.338078,725.4967,7.072657,273.7376,6.1818075,123.12673,-3.462759,116.88411,-6.3534756,149.10455,-3.9914777,122.383675,-7.8093376,73.0438,-7.6935635,79.00477,-6.8282695,80.263985,-3.5726738,87.6579,-1.7249694,80.460045,-4.3836513,68.78176,-4.823479,51.53807,-2.7248743,37.48148,-3.2156951,38.857555,-2.3621368,68.72949,-3.011877,82.79287,-3.5254216,78.6983,classical
"06  J. S. Bach - Herz und Mund und Tat und Leben, BWV 147; Chorale- Jesus bleibt meine Freude.flac",0.29277632,0.08368767,0.052764516,0.0009169526,1457.9894810529856,32576.185742153084,1576.362262492021,53709.77188443353,2660.025581855892,130624.0993603298,0.08410115433920279,0.0002827841981456032,7.7048037e-07,0.0029728748,-1.4724711e-05,0.000130231,66.25600961538461,-229.73662,2580.7163,140.10698,218.55495,-39.207184,193.39857,19.808733,93.76818,-2.570211,118.58763,-3.8690937,128.05911,-7.7697277,35.234497,-7.434972,42.617374,-16.945992,98.28703,-3.437159,51.26612,-14.273504,77.2666,-4.4155536,67.17371,-4.615097,70.21617,-2.0673678,79.895676,0.7376977,95.10632,2.6706872,76.66793,-3.65777,67.48972,-2.3892992,74.73439,-4.1946807,61.468277,-2.211704,66.14221,classical
"06  J. S. Bach - Toccata and Fugue in D minor, BWV 565; Toccata.flac",0.2846989,0.08658292,0.03589527,0.0010765123,1634.5800728908644,240091.52360980157,1586.166068899057,60594.21999463019,2979.9903137395995,691686.7151131693,0.11697434936145511,0.0019509507767677368,-0.00014185798,0.0018417654,-0.00022408896,8.793703e-05,151.99908088235293,-286.57782,7844.705,125.11066,1702.345,-42.397568,257.72113,22.881256,108.31052,-6.834821,100.48337,4.45664,76.87124,-9.886011,66.83122,2.0296397,39.626347,-2.6845453,73.28581,3.65903,183.25673,-0.99323124,168.09897,4.487978,121.76905,-6.4646835,129.79465,-0.8624728,68.08074,-2.7884793,88.76933,5.1161156,102.23972,3.1286979,181.88037,7.8492904,143.78476,-2.1315231,74.81267,-6.114511,196.6067,classical
"06  Verdi - La traviata, Act I; Brindisi; Libiamo ne'lieti calici, ''Drinking Song''.flac",0.24068835,0.09948726,0.029662909,0.0007477428,1522.4740673840518,115619.43561084238,1604.4043823176798,96248.33383747633,2859.857706831705,569646.4471503508,0.07546704177147832,0.00046910089519869004,-0.0016017709,0.0012338746,-8.525582e-05,0.00015266327,103.359375,-354.32098,3055.5098,121.43011,533.10846,-28.606873,504.90634,15.945512,181.76758,4.891933,340.85672,-28.903738,251.9809,-0.47442448,332.0994,-5.8527303,122.56983,-29.293919,254.9282,10.592052,336.26196,-0.53436106,233.50542,8.174375,359.73276,26.996922,316.20514,14.244866,348.7048,-6.057057,303.19513,-7.5610013,275.7588,-5.1498027,200.49905,3.3666418,130.42575,-0.6124983,101.992874,-1.9827979,127.768394,classical
"06  Émile Waldteufel - Les Patineurs, Op. 183,''The Skater's Waltz''.flac",0.2537526,0.08245988,0.060396545,0.00050735887,1455.8884079765046,62939.404323654264,1651.775353273996,36435.16990189644,2655.46727608601,292443.5274239715,0.07938614127805728,0.00033661790280609523,-4.78169e-06,0.0035281957,-5.6370645e-05,0.000114080016,184.5703125,-224.86745,2992.9238,136.40819,464.67328,-23.694689,176.96709,19.862087,63.740677,-12.139036,57.195602,-12.596044,42.471294,-17.955467,42.39703,-8.98268,34.45133,-19.294783,39.337715,-8.602883,49.829323,-11.9584,45.17839,-3.9166565,52.099674,-4.838704,61.115482,-0.44010448,57.69426,-6.1248684,47.143063,-0.95669913,39.022476,-5.0961823,38.26106,-2.6340518,55.014114,-10.307361,96.63442,-6.374965,145.861,classical
"060. Sir Edward Elgar - Pomp and Circumstance March No. 1 in D Major, Op. 39, No.1.wav",0.28518188,0.07879721,0.06275033,0.00033834646,1800.5515456480628,176538.97697800238,1920.0611667018231,103012.86769694962,3542.7119110390868,907544.4843721449,0.09355914703463622,0.0006983013736627977,-7.941976e-06,0.003177683,-0.00017119142,0.00026863726,89.10290948275862,-169.42226,1554.581,121.1604,445.6431,-26.285532,122.75544,32.768517,52.284763,-2.7563443,27.259687,1.4124799,42.309,-9.237295,23.708189,-1.6655658,25.443071,-10.995499,34.746105,0.26299936,39.704926,-7.4661965,38.216816,-0.9678632,24.598478,-7.447731,34.849037,0.7347167,28.140816,-4.0675354,30.000805,1.1017888,31.305607,-4.0099206,30.956482,2.8673782,34.008186,-2.4400253,39.30568,-0.026817912,44.04141,classical
"061. Frédéric Chopin - 12 Etudes, Op. 10.wav",0.2811911,0.08421751,0.07227663,0.0010174215,864.7281308628793,45444.19056608386,942.6747378109828,39891.825869097,1499.4575996517028,208145.52551513436,0.056287641495743036,0.0003890070018121674,3.878816e-07,0.0048135594,3.6344964e-06,0.00030806975,75.99954044117646,-267.78217,5030.183,202.25063,321.83014,-28.415241,908.4873,16.942188,236.56859,0.7527383,118.48319,-6.8747272,99.46861,-8.468876,67.2623,-10.769763,56.94998,-11.705667,45.948997,-8.481084,60.528564,-7.7436733,69.955124,-6.3012176,84.05435,-4.988578,75.139885,-4.3568835,62.27448,-3.7095196,46.456814,-5.2238564,46.467728,-4.8838058,52.04187,-4.9233117,72.685844,-7.4257655,79.2222,-6.3375764,90.48291,classical
062. Richard Wagner - Lohengrin.wav,0.26054186,0.082870565,0.018664105,7.971107e-05,937.6549912733799,43041.818821115485,1126.7891814567995,45526.19313891887,1564.4238734761998,197623.9994266433,0.059723750725619196,0.0003450061547786932,-2.8694596e-05,0.00037428658,-1.646072e-05,7.6383085e-06,123.046875,-404.03345,4907.5273,188.77629,444.4585,-15.086591,492.50156,18.075909,123.06903,-3.1684434,94.6869,-5.6149244,63.989532,-6.881818,61.86517,-14.0025215,78.87688,-13.955102,65.7562,-3.6672378,76.06321,-2.7630956,90.8761,-4.646024,97.90519,-4.8098717,67.72635,-0.06725333,50.024345,-2.2160048,76.319305,-1.80057,56.51008,0.0039208,38.107834,5.052839,73.87697,0.9261421,92.63564,-0.49707863,72.855865,classical
"063. Franz Liszt - Liebesträume, notturnos for piano, S. 541.wav",0.2765302,0.08290978,0.036494993,0.0003931245,840.2675481188616,41770.37972859784,915.4328700561331,52734.68864866338,1399.1748727142995,161618.93680777986,0.058323154508513934,0.00036407831051592124,3.4768382e-06,0.0012888842,3.667136e-05,8.4143576e-05,78.30255681818181,-339.02933,6342.9253,201.66339,628.0368,-16.27598,596.2822,7.7912326,410.73883,0.7469276,160.51979,-3.052317,94.93973,-4.1324005,93.622955,-3.6107986,68.90163,-5.695862,93.86035,-1.6216544,141.59827,-5.6221323,107.79661,-11.270444,76.07558,-3.7884579,81.724594,-1.8660676,57.568836,-5.332853,45.693207,1.262047,40.18717,-0.61115795,67.691826,0.8384915,80.587204,1.2875916,124.21638,-4.370708,102.195335,classical
064. Jacques Offenbach - Gaité Parisienne.wav,0.3927447,0.07449459,0.080317646,0.00039160677,2122.5903813235936,84732.92556302935,2213.897430510487,40066.669618852255,4306.465626058195,384348.5430992763,0.11196757691563468,0.0008545763649421416,-3.248761e-05,0.003870811,-0.00028654173,0.0008191315,161.4990234375,-113.06391,851.1058,101.66763,222.88972,-18.26363,127.38095,31.981514,63.46563,-3.6836843,58.51106,10.524695,44.40878,0.59483826,26.935566,7.4328094,22.940704,-0.30354276,29.854124,6.2824893,39.165802,-0.13239834,50.79298,4.5536456,45.47399,0.26800764,30.69523,5.3778954,29.509972,0.002484608,26.476828,4.5912266,18.847664,0.49591896,22.502258,3.9154887,29.95729,-0.1202435,44.623306,3.8416185,55.63086,classical
