,Unnamed: 0.1,Unnamed: 0,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
129,129,129,15. Barry Harris - My Heart Stood Still.mp3,0.24007775,0.090569794,0.07648868,0.0011746066,1736.59322557246,156388.69469772602,2437.66711698873,118310.41132134917,3854.601691750919,1863312.6707466024,0.0521312040441176,0.000218682700744,-0.0009086043,0.00525297,-0.0010220992,0.0004655953,89.10290948275862,-218.59903,1332.3542,108.197365,301.26495,16.885832,139.56381,19.737818,71.58732,11.265858,60.829414,0.15995632,51.855045,-3.1419818,48.403915,-2.4051437,55.99103,-7.129361,76.85906,-2.6942453,62.275784,-1.8048025,59.24122,4.441239,80.275055,-2.2632964,62.03248,5.659104,77.56354,1.1605172,108.91979,7.224945,129.8731,-4.7009387,92.354576,2.5542438,72.23334,-2.7803955,84.117065,-2.911321,107.53516,jazz
130,130,130,15. The Blackbyrds - Dreaming Of You.mp3,0.32695344,0.09263,0.16581318,0.0029443316,1896.284073052827,625816.1907639819,2272.2821418495405,283662.22523290646,4064.5837553514416,3049145.444566145,0.0831004045327012,0.0028936631430453,2.7998537e-06,0.016173262,5.294774e-05,0.0073797456,95.703125,-101.75186,4047.0051,111.82992,1012.7589,6.4103956,617.6446,29.764044,232.04915,10.45891,139.52266,9.693219,87.21209,-0.95149934,102.8026,4.6049304,54.988365,-2.1288009,84.64673,4.17752,68.24706,1.0833062,80.12615,3.3337066,58.000515,2.2497668,71.62436,4.076907,45.640057,1.3193662,59.545017,4.007626,70.85582,-1.2848116,72.9915,2.5565035,48.459923,-4.5847926,68.24915,1.2812648,74.65993,jazz
131,131,131,16. Bobbi Humphrey - New York Times (Remastered 2002).mp3,0.34163475,0.09022358,0.16952008,0.002205622,2337.945133237453,473865.9006563389,2471.580494345524,190942.15905005843,5108.985773328657,2462393.235122162,0.1108462685032894,0.0016762207861499,9.602495e-06,0.013577112,3.0298848e-05,0.008654123,99.38401442307692,-58.79886,2083.3232,95.40128,787.02075,1.864344,336.31604,23.31643,127.858604,-2.0225508,72.80493,12.1996765,50.85185,-2.9779913,60.302727,6.2593074,61.786705,-6.425825,49.609024,3.1658978,53.233147,-5.1481233,64.822716,-0.7703743,57.041885,-2.396392,68.41114,6.68085,54.383743,-3.7212753,44.662727,-1.2739456,36.231663,-4.6351657,41.690434,-0.42635655,41.6262,-2.1670527,67.97008,2.7336948,53.788918,jazz
132,132,132,16. Buddy Rich - Blue and Sentimental.mp3,0.274811,0.10077778,0.080734916,0.001769749,1495.049936306546,876992.9288297626,2034.8560703387595,287891.24699279154,3062.639813969379,4725442.959599152,0.0510235009916795,0.0044982228450085,1.934538e-06,0.0073555494,-2.1214393e-05,0.0002535976,63.02400914634146,-281.4449,5605.529,105.78127,1636.6653,26.019753,457.87576,41.032063,197.30518,5.93926,167.58968,15.546615,100.82729,-1.6448888,110.99407,5.428792,116.89994,-6.172552,158.19894,3.7158208,93.471535,-4.1467886,50.757294,1.0788978,43.134567,-0.01673105,63.866802,-1.721275,66.74111,-4.0165734,44.849163,-6.155267,85.12805,-4.406563,88.26305,2.1923046,161.827,-1.4180528,101.66816,-1.9222144,134.1965,jazz
133,133,133,17. Ben Webster - There Is No Greater Love.mp3,0.26257882,0.08938156,0.06302506,0.0018748026,2273.4824144493145,425144.6070856461,2463.9198823428005,78164.04398656725,4978.303230214783,1493967.7917521251,0.0755108812645123,0.0022978261071032,3.2380734e-07,0.0045751897,1.43847865e-05,0.0004414209,135.99917763157896,-224.95535,4065.8503,77.4102,1127.8844,4.0678515,381.12772,39.537933,77.83296,1.5733802,176.66234,13.615996,89.39304,-7.814172,87.67033,1.7109892,41.271828,-7.9259686,72.87736,-1.5993996,50.008545,-11.016734,45.05444,2.1546907,44.51618,-4.8534713,38.339947,1.408447,52.01695,-1.2231077,32.24109,-0.44804183,50.775703,-3.0021334,79.23825,2.7075782,93.189964,-5.1552997,121.83577,-2.2294552,102.32829,jazz
134,134,134,17. Ronny Jordan - A Brighter Day.mp3,0.32162517,0.09579665,0.18947083,0.0076432885,1949.851212045874,401119.1294919486,2462.102951381424,134502.63531875482,4587.2722613922215,1960294.74377118,0.0642815462945046,0.0016553413881776,-1.4198544e-05,0.025141299,-7.6767865e-05,0.009073595,172.265625,-121.86956,4382.584,89.02686,518.4934,22.243309,307.26205,44.42791,181.22374,8.904614,105.11719,12.6275215,98.486244,-2.226788,92.194305,2.6234117,65.36592,-2.458523,59.727753,2.4612257,64.819145,-4.8944287,68.15263,2.427307,82.48005,0.6782961,62.15652,3.4636748,34.45042,-4.0799565,44.605515,-1.387749,47.906754,-4.7116647,59.027283,-1.9680524,51.883682,-5.4362264,46.915253,-1.6922165,65.48905,jazz
135,135,135,18. Donald Byrd - Think Twice.mp3,0.43965048,0.087673545,0.1867718,0.0073811277,2861.7804806487584,1057750.859955741,2876.639529729928,273105.3301193826,6292.095285893963,3701797.419672873,0.1273314295907507,0.005267241690814,-1.3078876e-06,0.012566659,7.359978e-06,0.017126974,107.666015625,-69.85396,4647.6265,79.22668,1176.9834,23.918755,609.53705,16.890469,198.50606,9.290264,147.59048,18.900763,143.87445,-3.7916532,78.192085,11.114167,50.93987,0.2168257,53.09583,0.8149005,43.951298,0.7028987,46.941902,2.2549927,43.958378,-4.598345,39.942657,1.0741506,39.806705,-0.13479903,41.90611,-2.5593722,42.9468,-2.7120686,43.169315,-5.8725095,51.86164,0.86275405,41.998665,-2.9600441,27.4796,jazz
136,136,136,18. Jutta Hipp - I Married an Angel.mp3,0.32739574,0.09659434,0.108588986,0.0034131214,1499.303245910556,316707.8623430537,2254.6537816528007,214653.08358860065,3295.430072985197,3187125.908710344,0.0424067730505031,0.0004517182419701,3.85221e-06,0.010767626,-4.424037e-05,0.0012883492,92.28515625,-202.3017,2414.1418,119.05773,743.1874,29.521547,272.41345,25.969082,100.19239,9.22284,55.809856,11.726026,61.352802,-3.64119,60.691734,1.2355337,46.874863,-2.0995514,56.49177,2.3074248,32.288734,-4.0954175,46.06391,5.1125674,47.5665,-5.1527596,48.114777,2.7590134,32.960865,-4.3411746,31.072786,-2.9960275,35.988937,-8.33579,34.586796,-1.5831292,46.141533,-5.213414,33.41588,-2.4419096,29.146563,jazz
137,137,137,19. Ben Webster - We'll Be Together Again.mp3,0.3006626,0.09213841,0.097170934,0.0017250552,1954.944591120199,548587.7161721779,2341.635639521906,126141.3928029125,4159.474848224651,2510971.6523485216,0.0772761767124613,0.0033222941746747,5.015612e-06,0.009139263,3.2279855e-05,0.0005974274,129.19921875,-191.88809,2179.9688,89.00399,1404.3684,7.179265,642.17834,29.82167,102.20507,10.37619,99.835266,12.915544,122.572876,-4.5793896,105.51779,-6.0875587,96.16751,-8.086331,73.543,-3.3613741,109.3858,-9.166644,176.15265,1.0750245,154.51653,-4.0540237,118.24262,4.953882,113.01831,-0.56859976,119.23983,3.3376071,99.74584,-3.115297,117.21769,2.2575526,107.07215,-1.2118988,150.34209,1.1568168,138.85289,jazz
138,138,138,"19. Grover Washington, Jr. - Mister Magic.mp3",0.38399816,0.08571628,0.1401831,0.0037620615,3278.6649088869663,1039290.3871703872,2868.096949549554,207057.82298415207,6743.059225643382,3034801.3356098426,0.192448193812887,0.0089601521586374,2.2397098e-05,0.0062380354,0.00026248817,0.011202162,103.359375,-78.96402,4511.197,59.849995,1136.9856,15.249444,681.7692,20.536896,322.42776,3.146709,105.32266,7.386689,53.351204,-5.9380116,38.19596,2.6165783,62.756935,2.1576097,62.970154,2.0917356,57.655476,-4.5987024,58.30227,8.5548525,110.896576,-6.742397,85.25541,3.889676,54.586662,-3.77968,58.615097,-7.018482,77.26751,-6.111344,46.56067,2.4117947,71.84404,2.3996806,87.19264,4.4056892,125.230484,jazz
