filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
087. 24kgoldn - More Than Friends.wav,0.43642777,0.089301065,0.31751093,0.010595934,2522.1407377560035,829180.9189569979,2724.9724344003107,139717.23382753346,5641.690885467057,2414159.385603681,0.09956440172697369,0.0058936626253249256,1.1598992e-05,0.04924514,0.00026256347,0.028587587,172.265625,-21.287338,2101.9497,82.2291,823.8305,17.240871,352.93353,27.899786,280.3597,2.5125914,201.17113,15.845886,124.50669,4.9938207,85.65946,6.706981,118.02538,5.1388474,80.93525,3.509139,72.62477,-0.8451077,77.78829,8.738411,60.650898,-0.74818116,55.161415,5.7682266,48.2409,4.0217857,54.828136,0.07736173,49.494286,-5.4266276,54.515347,5.072762,51.811676,-5.484231,38.96347,1.8149375,39.580345,pop
088. Clinton Kane - GO TO HELL.wav,0.34975523,0.089081354,0.3188088,0.0073800515,2431.314093588328,976278.0431036955,2554.6040730272584,290349.5391929692,5286.084702435662,4420620.620006601,0.1079951897494195,0.003637351084892865,6.0069615e-06,0.05802455,-4.288457e-06,0.019302243,89.10290948275862,-8.6901245,4158.378,94.95991,1273.0276,5.235964,506.96826,20.54604,213.54813,7.1903133,86.56538,7.582474,120.61022,4.9684663,131.53555,12.383807,96.63929,-6.9556236,103.174515,13.509285,118.32036,-4.434737,67.63267,4.8570805,74.500534,1.7613862,72.26259,-4.3341703,83.01168,-2.7579725,65.755005,0.27658036,70.17802,-6.3289533,59.0758,1.5602676,52.762936,-2.7403088,54.55476,-0.48762837,87.7246,pop
089. Sadie Jean - WYD Now_.wav,0.35094145,0.088666916,0.23957135,0.007252443,1857.9186185696938,973918.9128730686,2513.466726199727,562221.218774224,4148.341582212654,6732764.379988074,0.057027621904024765,0.001176127414708671,5.249859e-06,0.039293107,0.00029501555,0.011963829,92.28515625,-108.42032,3464.1172,122.86252,1255.7292,34.968845,553.8513,13.387584,286.58643,11.600359,137.08458,3.1115031,126.98567,7.88757,156.35504,-6.2390146,139.79475,9.679019,154.20035,4.5829253,101.268875,-8.7630625,95.95558,9.04398,75.631424,-0.93722385,91.22421,6.825178,69.8544,-0.6279303,63.940384,-0.8631427,76.46357,-2.8004534,69.10176,-0.21659079,76.29373,4.262508,104.30843,6.3153124,112.970924,pop
09. Steve Lacy - Bad Habit.wav,0.41577116,0.08360449,0.34898636,0.01879728,1766.8272847408502,537594.8779139516,2313.252359370518,220268.47404491375,3744.1106932082043,2872180.5639735716,0.06192252805727554,0.002027850566567442,-0.00014897654,0.07962546,-0.00018015887,0.021315757,83.35433467741936,-43.703186,3589.4148,115.95753,804.6553,8.664861,459.75754,26.422783,193.16187,15.33379,185.72058,5.0924225,108.26415,7.6665764,90.92611,4.322009,64.91081,-2.8278174,70.5889,5.8755984,67.76199,-0.90031356,59.708706,1.6585913,53.17976,1.6226565,38.839947,3.6824062,41.03033,-0.15939638,44.245926,-0.96258885,52.06587,-6.47212,51.26712,3.2897666,51.38903,-4.4969087,40.520695,1.2770929,39.464653,pop
"090. Ariana Grande, Kid Cudi - Just Look Up (From Don’t Look Up).wav",0.41991642,0.080206476,0.3091695,0.002309047,2839.5450419888625,1202663.8801555112,2993.1862495004048,404480.5776832708,6610.376694623162,4358575.582586798,0.0990814114502709,0.004302940218573803,7.028428e-06,0.059484612,-6.8956426e-05,0.013581738,129.19921875,-28.042652,1847.2784,78.9877,1454.3771,33.724045,612.4641,27.82212,251.79642,17.365658,162.00504,17.151896,85.56864,1.8398657,107.80386,8.524606,107.66365,-6.5365,77.25105,5.544921,98.92292,2.1673024,80.99659,6.3590817,59.18828,1.0131196,61.456482,5.826512,67.5537,-1.2370771,59.481606,8.709488,60.339706,1.394784,56.810715,1.4787925,48.74638,3.399583,56.35151,0.87658834,59.374504,pop
"091. The Weeknd, Lil Wayne - I Heard You’re Married.wav",0.37071306,0.091106914,0.31436244,0.009530128,2376.0655845064466,598920.4275267699,2594.2635282990373,123096.95416987593,5304.334592081076,2455465.611403201,0.08239632715750773,0.0022616035323825886,-1.9688883e-05,0.07374268,2.8335331e-05,0.013640838,112.34714673913044,-35.62437,3923.4055,82.84764,1013.9203,10.316404,289.8507,27.588175,348.80008,2.4642262,146.80536,13.183736,115.532135,1.1080693,109.71877,10.072801,93.12094,-2.7093105,97.31631,14.6439085,120.80082,2.7578402,80.35107,4.7627225,65.58126,-4.3703175,59.247448,7.562875,62.75734,-2.1797075,63.931164,3.3807411,75.47047,2.2705781,131.0077,5.841623,84.65937,1.8308196,90.502785,4.467558,74.18823,pop
"092. Macklemore, Windser - Next Year.wav",0.3517346,0.09266632,0.24146558,0.01536881,2441.2121907890933,1076896.9523346906,2467.2108027202007,292071.1536106184,5038.336200536958,4062628.5297558536,0.10763124637190402,0.006623174466753967,3.6698142e-07,0.03826514,-0.00017650682,0.01804116,86.1328125,-63.00089,5879.5234,84.97447,1555.8059,-7.187459,989.7573,12.509588,522.3856,4.1986732,263.17078,2.0393777,338.2963,-12.497003,219.65079,-1.3650402,220.19902,-8.014775,181.78935,0.08078457,135.40782,-8.618714,182.5868,1.4161252,125.31359,-7.517297,116.94132,-4.991136,137.26285,-4.024777,113.45454,-0.68977475,133.32251,-1.6012135,102.22869,5.4182887,131.62227,-0.9928886,162.84952,0.68544954,100.66024,pop
093. Ruel - GROWING UP IS _____.wav,0.41615623,0.08938962,0.31825802,0.0111339865,2690.8474373691724,567448.0657100879,2880.9740518106246,166440.63522819235,6263.27046019374,2445166.0061725182,0.09530479029605263,0.00263460652339103,-2.8608736e-05,0.06521767,0.0005457025,0.01954807,112.34714673913044,-11.677568,1599.4529,78.78884,646.8362,16.205456,276.12878,16.45469,393.18707,4.6931725,159.19337,13.521575,118.85113,-1.2748129,156.505,10.159659,111.505585,0.17580761,127.274864,5.5448303,73.22451,-2.1245127,57.561546,5.187831,80.415886,-0.40271354,62.494995,2.650047,97.38316,-2.0068321,87.136734,-0.609364,59.0755,-3.9174838,52.815525,0.53216344,49.388897,-4.000762,49.863125,1.787677,32.608093,pop
"094. Fireboy Dml, Ed Sheeran - Peru.wav",0.3298925,0.09203195,0.18088531,0.0067610447,2922.484257550658,1450218.0930275708,2733.7624609100644,362907.83029983105,6063.546667896188,5565157.88268871,0.12953889923568113,0.007214999984242148,-1.9456824e-05,0.022477916,-1.3769881e-05,0.010711328,107.666015625,-99.52843,6876.2153,62.09092,2145.4138,7.623566,679.96,20.138878,560.9011,-1.454149,381.11978,-14.489643,301.92963,-5.598713,277.1436,-17.061079,239.65576,-20.3685,239.40686,-2.954201,248.24046,-13.473354,200.43315,-10.369321,176.90016,-11.038491,129.66232,-5.060695,114.18947,-8.2779,101.895836,-5.022704,97.637726,-10.961139,91.13056,-2.310377,68.40881,-12.096604,93.936356,-2.2382698,89.96082,pop
"095. Illenium, Banners - Hurts Like This.wav",0.39851293,0.08937252,0.24483243,0.026149765,2062.5876159325717,1189057.1831111785,2218.351743389727,550228.2064757436,4364.006944780379,5694244.817930805,0.08157547044311146,0.0032148324807623587,-4.511263e-05,0.044735055,-0.00013041233,0.0175542,129.19921875,-84.37,17955.42,101.461555,1778.3235,-1.7651129,356.0864,24.492373,148.30443,15.757459,227.57024,14.789259,115.12793,2.4452264,72.85569,7.1197634,53.369183,2.1343079,83.11917,6.868182,59.299934,2.7068741,54.17611,7.11254,44.51336,-1.5485227,41.81799,0.24224603,42.758385,-1.1693385,44.63794,2.5054843,44.744938,-1.955114,44.34871,0.6732951,48.11074,-1.6243438,36.771088,3.093203,36.332943,pop
